Year,Units,Employment status,Industry,Sex,Age group,Value
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,Male,35 to 44,1.13
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,Male,45 to 54,3.31
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,Male,55 to 59,5.2
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,Male,60 to 64,3.1
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,Male,65+,10.53
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,,0.24
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,25 to 34,0.17
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,35 to 44,0.28
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,45 to 54,0.29
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,55 to 59,0.53
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,60 to 64,0.39
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,65+,0.69
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,,0.43
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,25 to 34,0.31
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,35 to 44,0.54
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,45 to 54,0.41
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,55 to 59,1.19
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,60 to 64,0.76
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,65+,1.25
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Female,,0.04
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Female,45 to 54,0.18
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,,,0.62
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,,20 to 24,1.17
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,,35 to 44,0.26
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,,45 to 54,0.76
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,,55 to 59,0.67
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,,65+,4.4
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,Male,,0.68
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,Male,20 to 24,1.69
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,Male,35 to 44,0.32
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,Male,45 to 54,0.92
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,Male,55 to 59,0.8
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,Male,65+,2.62
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Transportation and storage,Female,,0.37
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,,0.24
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,25 to 34,0.06
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,35 to 44,0.33
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,45 to 54,0.15
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,55 to 59,0.46
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,60 to 64,0.35
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,65+,1.61
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,,0.38
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,25 to 34,0.11
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,35 to 44,0.55
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,45 to 54,0.13
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,55 to 59,0.76
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,60 to 64,0.52
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Male,65+,2.36
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Female,,0.04
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Female,45 to 54,0.19
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Public administration and defence; compulsory social security; education; human health and social work activities,,,0.04
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Public administration and defence; compulsory social security; education; human health and social work activities,,25 to 34,0.11
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Public administration and defence; compulsory social security; education; human health and social work activities,,35 to 44,0.09
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Public administration and defence; compulsory social security; education; human health and social work activities,Male,,0.15
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Public administration and defence; compulsory social security; education; human health and social work activities,Male,25 to 34,0.34
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Public administration and defence; compulsory social security; education; human health and social work activities,Male,35 to 44,0.29
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",,,0.11
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",,45 to 54,0.28
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Arts, entertainment and recreation; other service activities; activities of households as employers; undifferentiated goods-and services-producing activities of households for own use; activities of extraterritorial organisations and bodies",Male,,0.25
