Year,Flow of Overseas Development Assistance,Aid sector (Development Assistance Committee code),Aid category (Development Assistance Committee code),Aid subcategory (Development Assistance Committee code),Aid description (creditor reporting system code),Recipient region,Recipient country,Type of aid finance,Value
2010,,,,,,Pacific countries,Pacific (Country Unspecifed),,6807.01
2010,,,,,,Unspecified Country/Region,,,2436885.93
2010,,,,,,Unspecified Country/Region,Unspecified Developing countries,,2238465.65
2010,,,,,,Unspecified Country/Region,Africa (Country Unspecifed),,153344.44
2010,,,,,,Unspecified Country/Region,Asia (Country Unspecifed),,31990.24
2010,,,,,,Unspecified Country/Region,America (Country Unspecifed),,13085.6
2010,Bilateral,,,,,North Africa,,,11988
2010,Bilateral,,,,,North Africa,Algeria,,1422.91693
2010,Bilateral,,,,,North Africa,Egypt,,5818.01103
2010,Bilateral,,,,,North Africa,Libya,,1019.83341
2010,Bilateral,,,,,North Africa,Morocco,,2083.40518
2010,Bilateral,,,,,North Africa,Tunisia,,1621.651619
2010,Bilateral,,,,,North Africa,North of Sahara (Country Unspecifed),,22.18276
2010,Bilateral,,,,,Sub Saharan Africa,,,1865121.19
2010,Bilateral,,,,,Sub Saharan Africa,Angola,,10799.6062
2010,Bilateral,,,,,Sub Saharan Africa,Benin,,0
2010,Bilateral,,,,,Sub Saharan Africa,Botswana,,683.571369
2010,Bilateral,,,,,Sub Saharan Africa,Burkina Faso,,61.880426
2010,Bilateral,,,,,Sub Saharan Africa,Burundi,,13041.00573
2010,Bilateral,,,,,Sub Saharan Africa,Cameroon,,669.01008
2010,Bilateral,,,,,Sub Saharan Africa,Cape Verde,,581.38861
2010,Bilateral,,,,,Sub Saharan Africa,Central African Republic,,1956.23252
2010,Bilateral,,,,,Sub Saharan Africa,Chad,,1851.017
2010,Bilateral,,,,,Sub Saharan Africa,Comoros,,78.531
2010,Bilateral,,,,,Sub Saharan Africa,"Congo, Democratic Republic",,162378.5448
2010,Bilateral,,,,,Sub Saharan Africa,"Congo, Republic",,50988.26321
2010,Bilateral,,,,,Sub Saharan Africa,Ivory Coast,,16808.18173
2010,Bilateral,,,,,Sub Saharan Africa,Djibouti,,3.29233
2010,Bilateral,,,,,Sub Saharan Africa,Equatorial Guinea,,0
2010,Bilateral,,,,,Sub Saharan Africa,Eritrea,,3566.09676
2010,Bilateral,,,,,Sub Saharan Africa,Ethiopia,,263499.1144
2010,Bilateral,,,,,Sub Saharan Africa,Gabon,,105.96262
2010,Bilateral,,,,,Sub Saharan Africa,Gambia,,1284.07208
2010,Bilateral,,,,,Sub Saharan Africa,Ghana,,107858.1977
2010,Bilateral,,,,,Sub Saharan Africa,Guinea,,0
2010,Bilateral,,,,,Sub Saharan Africa,Guinea-Bissau,,47
2010,Bilateral,,,,,Sub Saharan Africa,Kenya,,68136.46132
2010,Bilateral,,,,,Sub Saharan Africa,Lesotho,,3119.87704
2010,Bilateral,,,,,Sub Saharan Africa,Liberia,,16561.09557
2010,Bilateral,,,,,Sub Saharan Africa,Madagascar,,-190.93463
2010,Bilateral,,,,,Sub Saharan Africa,Malawi,,95847.85962
2010,Bilateral,,,,,Sub Saharan Africa,Mali,,33.20427
2010,Bilateral,,,,,Sub Saharan Africa,Mauritania,,0
2010,Bilateral,,,,,Sub Saharan Africa,Mauritius,,3689.11031
2010,Bilateral,,,,,Sub Saharan Africa,Mayotte,,0
2010,Bilateral,,,,,Sub Saharan Africa,Mozambique,,67612.76923
2010,Bilateral,,,,,Sub Saharan Africa,Namibia,,362.45359
2010,Bilateral,,,,,Sub Saharan Africa,Niger,,2060.53634
2010,Bilateral,,,,,Sub Saharan Africa,Nigeria,,171335.234
2010,Bilateral,,,,,Sub Saharan Africa,Rwanda,,68747.09385
2010,Bilateral,,,,,Sub Saharan Africa,Sao Tome and Principe,,0
2010,Bilateral,,,,,Sub Saharan Africa,Senegal,,-536.103733
2010,Bilateral,,,,,Sub Saharan Africa,Seychelles,,27.83567
2010,Bilateral,,,,,Sub Saharan Africa,Sierra Leone,,54902.40239
2010,Bilateral,,,,,Sub Saharan Africa,Somalia,,40358.52808
2010,Bilateral,,,,,Sub Saharan Africa,South Africa,,25441.78485
2010,Bilateral,,,,,Sub Saharan Africa,South Sudan,,0
2010,Bilateral,,,,,Sub Saharan Africa,St. Helena,,34740.33453
2010,Bilateral,,,,,Sub Saharan Africa,Sudan,,77102.64
2010,Bilateral,,,,,Sub Saharan Africa,Swaziland,,10.56252
2010,Bilateral,,,,,Sub Saharan Africa,Tanzania,,156006.4531
2010,Bilateral,,,,,Sub Saharan Africa,Togo,,-54.889892
2010,Bilateral,,,,,Sub Saharan Africa,Uganda,,116073.6392
2010,Bilateral,,,,,Sub Saharan Africa,Zambia,,51346.44947
2010,Bilateral,,,,,Sub Saharan Africa,Zimbabwe,,69936.46804
2010,Bilateral,,,,,Sub Saharan Africa,South of Sahara (Country Unspecifed),,106188.3545
2010,Bilateral,,,,,Middle East,,,137307.65
2010,Bilateral,,,,,Middle East,Iran,,0
2010,Bilateral,,,,,Middle East,Iraq,,20059.58607
2010,Bilateral,,,,,Middle East,Jordan,,1708.72529
2010,Bilateral,,,,,Middle East,Lebanon,,2565.37988
2010,Bilateral,,,,,Middle East,Oman,,601.54641
2010,Bilateral,,,,,Middle East,Syria,,1259.55096
2010,Bilateral,,,,,Middle East,West Bank and Gaza Strip,,63213.63647
2010,Bilateral,,,,,Middle East,Yemen,,41386.62662
2010,Bilateral,,,,,Middle East,Middle East (Country Unspecifed),,6512.60172
2010,Bilateral,,,,,South and Central Asia,,,1023895.28
2010,Bilateral,,,,,South and Central Asia,Afghanistan,,152053.0132
2010,Bilateral,,,,,South and Central Asia,Armenia,,314.95647
2010,Bilateral,,,,,South and Central Asia,Azerbaijan,,559.29587
2010,Bilateral,,,,,South and Central Asia,Bangladesh,,147839.4758
2010,Bilateral,,,,,South and Central Asia,Bhutan,,0
2010,Bilateral,,,,,South and Central Asia,Burma,,28599.29188
2010,Bilateral,,,,,South and Central Asia,Georgia,,2222.97134
2010,Bilateral,,,,,South and Central Asia,India,,421092.3294
2010,Bilateral,,,,,South and Central Asia,Kazakhstan,,220.27428
2010,Bilateral,,,,,South and Central Asia,Kyrgyz Republic,,4731.88211
2010,Bilateral,,,,,South and Central Asia,Maldives,,170.076
2010,Bilateral,,,,,South and Central Asia,Nepal,,68110.47527
2010,Bilateral,,,,,South and Central Asia,Pakistan,,193282.0523
2010,Bilateral,,,,,South and Central Asia,Sri Lanka,,-5502.76974
2010,Bilateral,,,,,South and Central Asia,Tajikistan,,8107.88859
2010,Bilateral,,,,,South and Central Asia,Turkmenistan,,39.029
2010,Bilateral,,,,,South and Central Asia,Uzbekistan,,797.13674
2010,Bilateral,,,,,South and Central Asia,Unspecified South Asia Region,,1257.90603
2010,Bilateral,,,,,South and Central Asia,Unspecified Central Asia Region,,0
2010,Bilateral,,,,,South and Central Asia,South and CentralAsia (Country Unspecifed),,0
2010,Bilateral,,,,,Far East Asia,,,148887.15
2010,Bilateral,,,,,Far East Asia,Cambodia,,16838.62951
2010,Bilateral,,,,,Far East Asia,China,,56152.43039
2010,Bilateral,,,,,Far East Asia,Indonesia,,17273.06295
2010,Bilateral,,,,,Far East Asia,"Korea, Democratic Republic",,264.40239
2010,Bilateral,,,,,Far East Asia,Laos,,36.789
2010,Bilateral,,,,,Far East Asia,Malaysia,,-485.555765
2010,Bilateral,,,,,Far East Asia,Mongolia,,537.92474
2010,Bilateral,,,,,Far East Asia,Philippines,,376.81457
2010,Bilateral,,,,,Far East Asia,Thailand,,4670.958802
2010,Bilateral,,,,,Far East Asia,Timor-Leste,,0
2010,Bilateral,,,,,Far East Asia,Vietnam,,53221.69567
2010,Bilateral,,,,,Far East Asia,Far East Asia (Country Unspecifed),,0
2010,Bilateral,,,,,Latin America and the Caribbean,,,43683.01
2010,Bilateral,,,,,Latin America and the Caribbean,Anguilla,,57.79407
2010,Bilateral,,,,,Latin America and the Caribbean,Antigua and Barbuda,,3.15806
2010,Bilateral,,,,,Latin America and the Caribbean,Barbados,,51.91839
2010,Bilateral,,,,,Latin America and the Caribbean,Belize,,50.95602
2010,Bilateral,,,,,Latin America and the Caribbean,Costa Rica,,496.57262
2010,Bilateral,,,,,Latin America and the Caribbean,Cuba,,249.56387
2010,Bilateral,,,,,Latin America and the Caribbean,Dominica,,194.79766
2010,Bilateral,,,,,Latin America and the Caribbean,Dominican Republic,,35.77993
2010,Bilateral,,,,,Latin America and the Caribbean,El Salvador,,-31611.54505
2010,Bilateral,,,,,Latin America and the Caribbean,Grenada,,0.92119
2010,Bilateral,,,,,Latin America and the Caribbean,Guatemala,,148.74768
2010,Bilateral,,,,,Latin America and the Caribbean,Haiti,,16943.51631
2010,Bilateral,,,,,Latin America and the Caribbean,Honduras,,16354.27328
2010,Bilateral,,,,,Latin America and the Caribbean,Jamaica,,2540.1799
2010,Bilateral,,,,,Latin America and the Caribbean,Mexico,,6093.11731
2010,Bilateral,,,,,Latin America and the Caribbean,Montserrat,,10736.4699
2010,Bilateral,,,,,Latin America and the Caribbean,Nicaragua,,4694.60073
2010,Bilateral,,,,,Latin America and the Caribbean,Panama,,26.408
2010,Bilateral,,,,,Latin America and the Caribbean,St. Kitts-Nevis,,1.20079
2010,Bilateral,,,,,Latin America and the Caribbean,St. Lucia,,10.6878
2010,Bilateral,,,,,Latin America and the Caribbean,St.Vincent and Grenadines,,10.3
2010,Bilateral,,,,,Latin America and the Caribbean,Trinidad and Tobago,,156.5198
2010,Bilateral,,,,,Latin America and the Caribbean,"West Indies, regional",,16133.45659
2010,Bilateral,,,,,Latin America and the Caribbean,Latin American and the Caribbean (Country Unspecifed),,303.614
2010,Bilateral,,,,,South America,,,31515.73
2010,Bilateral,,,,,South America,Argentina,,349.59938
2010,Bilateral,,,,,South America,Bolivia,,54.218
2010,Bilateral,,,,,South America,Brazil,,26375.79294
2010,Bilateral,,,,,South America,Chile,,427.65288
2010,Bilateral,,,,,South America,Colombia,,1709.11238
2010,Bilateral,,,,,South America,Ecuador,,-22.35274
2010,Bilateral,,,,,South America,Guyana,,1047.14976
2010,Bilateral,,,,,South America,Paraguay,,7.243
2010,Bilateral,,,,,South America,Peru,,819.63062
2010,Bilateral,,,,,South America,Suriname,,0
2010,Bilateral,,,,,South America,Uruguay,,42.656
2010,Bilateral,,,,,South America,Venezuela,,705.03136
2010,Bilateral,,,,,South America,South America (Country Unspecifed),,0
2010,Bilateral,,,,,Europe,,,36707.71
2010,Bilateral,,,,,Europe,Albania,,560.24321
2010,Bilateral,,,,,Europe,Belarus,,238.151
2010,Bilateral,,,,,Europe,Bosnia-Herzegovina,,6268.22009
2010,Bilateral,,,,,Europe,Croatia,,678.87005
2010,Bilateral,,,,,Europe,Kosovo,,6142.35702
2010,Bilateral,,,,,Europe,Former Yugoslav Republic of Macedonia (FYROM),,743.3
2010,Bilateral,,,,,Europe,Moldova,,9365.11153
2010,Bilateral,,,,,Europe,Montenegro,,135.11035
2010,Bilateral,,,,,Europe,Serbia,,3498.25549
2010,Bilateral,,,,,Europe,Turkey,,2428.87515
2010,Bilateral,,,,,Europe,Ukraine,,542.75916
2010,Bilateral,,,,,Europe,Yugoslavia - Ex-states unspecified,,0
2010,Bilateral,,,,,Europe,Europe (Country Unspecifed),,6106.45785
2010,Bilateral,,,,,Pacific countries,,,4660.01
2010,Bilateral,,,,,Pacific countries,Cook Islands,,0
2010,Bilateral,,,,,Pacific countries,Fiji,,342.90333
2010,Bilateral,,,,,Pacific countries,Kiribati,,35.98887
2010,Bilateral,,,,,Pacific countries,Marshall Islands,,0
2010,Bilateral,,,,,Pacific countries,Micronesia,,0
2010,Bilateral,,,,,Pacific countries,Nauru,,8
2010,Bilateral,,,,,Pacific countries,Niue,,0
2010,Bilateral,,,,,Pacific countries,Palau,,11.965
2010,Bilateral,,,,,Pacific countries,Papua New Guinea,,668.76551
2010,Bilateral,,,,,Pacific countries,Samoa,,149.82666
2010,Bilateral,,,,,Pacific countries,Solomon Islands,,143.8241
2010,Bilateral,,,,,Pacific countries,Tokelau,,0
2010,Bilateral,,,,,Pacific countries,Tonga,,99.34183
2010,Bilateral,,,,,Pacific countries,Tuvalu,,27.922
2010,Bilateral,,,,,Pacific countries,Vanuatu,,58.10683
2010,Bilateral,,,,,Pacific countries,Wallis and Futuna,,157.48
2010,Bilateral,,,,,Pacific countries,Pacific (Country Unspecifed),,2955.88379
2010,Bilateral,,,,,Unspecified Country/Region,,,1886026.25
2010,Bilateral,,,,,Unspecified Country/Region,Unspecified Developing countries,,1742602.749
2010,Bilateral,,,,,Unspecified Country/Region,Africa (Country Unspecifed),,113133.6816
2010,Bilateral,,,,,Unspecified Country/Region,Asia (Country Unspecifed),,23960.28578
2010,Bilateral,,,,,Unspecified Country/Region,America (Country Unspecifed),,6329.529793
2010,Multilateral,,,,,North Africa,,,76143.17
2010,Multilateral,,,,,North Africa,Algeria,,6003.04
2010,Multilateral,,,,,North Africa,Egypt,,10488.42
2010,Multilateral,,,,,North Africa,Libya,,160.25
2010,Multilateral,,,,,North Africa,Morocco,,25521.61
2010,Multilateral,,,,,North Africa,Tunisia,,11098.98
2010,Multilateral,,,,,North Africa,North of Sahara (Country Unspecifed),,22870.87
2010,Multilateral,,,,,Sub Saharan Africa,,,1513852.51
2010,Multilateral,,,,,Sub Saharan Africa,Angola,,6937.45
2010,Multilateral,,,,,Sub Saharan Africa,Benin,,32854.41
2010,Multilateral,,,,,Sub Saharan Africa,Botswana,,4707.81
2010,Multilateral,,,,,Sub Saharan Africa,Burkina Faso,,55357.48
2010,Multilateral,,,,,Sub Saharan Africa,Burundi,,32719.92
2010,Multilateral,,,,,Sub Saharan Africa,Cameroon,,25330.18
2010,Multilateral,,,,,Sub Saharan Africa,Cape Verde,,8454.35
2010,Multilateral,,,,,Sub Saharan Africa,Central African Republic,,12947.95
2010,Multilateral,,,,,Sub Saharan Africa,Chad,,16502.05
2010,Multilateral,,,,,Sub Saharan Africa,Comoros,,2256.56
2010,Multilateral,,,,,Sub Saharan Africa,"Congo, Democratic Republic",,95261.27
2010,Multilateral,,,,,Sub Saharan Africa,"Congo, Republic",,8968.68
2010,Multilateral,,,,,Sub Saharan Africa,Ivory Coast,,37636.86
2010,Multilateral,,,,,Sub Saharan Africa,Djibouti,,1833.29
2010,Multilateral,,,,,Sub Saharan Africa,Equatorial Guinea,,569.78
2010,Multilateral,,,,,Sub Saharan Africa,Eritrea,,9947.21
2010,Multilateral,,,,,Sub Saharan Africa,Ethiopia,,146665.17
2010,Multilateral,,,,,Sub Saharan Africa,Gabon,,1949.46
2010,Multilateral,,,,,Sub Saharan Africa,Gambia,,6730.96
2010,Multilateral,,,,,Sub Saharan Africa,Ghana,,68259.1
2010,Multilateral,,,,,Sub Saharan Africa,Guinea,,11541.17
2010,Multilateral,,,,,Sub Saharan Africa,Guinea-Bissau,,5318.07
2010,Multilateral,,,,,Sub Saharan Africa,Kenya,,44148.14
2010,Multilateral,,,,,Sub Saharan Africa,Lesotho,,15738.43
2010,Multilateral,,,,,Sub Saharan Africa,Liberia,,17902.29
2010,Multilateral,,,,,Sub Saharan Africa,Madagascar,,22526.49
2010,Multilateral,,,,,Sub Saharan Africa,Malawi,,48691.97
2010,Multilateral,,,,,Sub Saharan Africa,Mali,,37974.6
2010,Multilateral,,,,,Sub Saharan Africa,Mauritania,,9301.03
2010,Multilateral,,,,,Sub Saharan Africa,Mauritius,,7769.77
2010,Multilateral,,,,,Sub Saharan Africa,Mayotte,,110.35
2010,Multilateral,,,,,Sub Saharan Africa,Mozambique,,56326.48
2010,Multilateral,,,,,Sub Saharan Africa,Namibia,,4558.64
2010,Multilateral,,,,,Sub Saharan Africa,Niger,,29799.33
2010,Multilateral,,,,,Sub Saharan Africa,Nigeria,,132058.63
2010,Multilateral,,,,,Sub Saharan Africa,Rwanda,,48067.14
2010,Multilateral,,,,,Sub Saharan Africa,Sao Tome and Principe,,1297.48
2010,Multilateral,,,,,Sub Saharan Africa,Senegal,,30774.11
2010,Multilateral,,,,,Sub Saharan Africa,Seychelles,,525.04
2010,Multilateral,,,,,Sub Saharan Africa,Sierra Leone,,20170.54
2010,Multilateral,,,,,Sub Saharan Africa,Somalia,,17829.23
2010,Multilateral,,,,,Sub Saharan Africa,South Africa,,21991.13
2010,Multilateral,,,,,Sub Saharan Africa,South Sudan,,0
2010,Multilateral,,,,,Sub Saharan Africa,St. Helena,,0
2010,Multilateral,,,,,Sub Saharan Africa,Sudan,,41417.7
2010,Multilateral,,,,,Sub Saharan Africa,Swaziland,,6055.48
2010,Multilateral,,,,,Sub Saharan Africa,Tanzania,,132278.99
2010,Multilateral,,,,,Sub Saharan Africa,Togo,,8853.29
2010,Multilateral,,,,,Sub Saharan Africa,Uganda,,69065.81
2010,Multilateral,,,,,Sub Saharan Africa,Zambia,,24239.57
2010,Multilateral,,,,,Sub Saharan Africa,Zimbabwe,,20616.69
2010,Multilateral,,,,,Sub Saharan Africa,South of Sahara (Country Unspecifed),,51014.98
2010,Multilateral,,,,,Middle East,,,143660.1
2010,Multilateral,,,,,Middle East,Iran,,1504.31
2010,Multilateral,,,,,Middle East,Iraq,,14419.76
2010,Multilateral,,,,,Middle East,Jordan,,21284.8
2010,Multilateral,,,,,Middle East,Lebanon,,9752.2
2010,Multilateral,,,,,Middle East,Oman,,18.51
2010,Multilateral,,,,,Middle East,Syria,,8585.18
2010,Multilateral,,,,,Middle East,West Bank and Gaza Strip,,64174.83
2010,Multilateral,,,,,Middle East,Yemen,,22277.55
2010,Multilateral,,,,,Middle East,Middle East (Country Unspecifed),,1642.96
2010,Multilateral,,,,,South and Central Asia,,,367212.31
2010,Multilateral,,,,,South and Central Asia,Afghanistan,,59762.34
2010,Multilateral,,,,,South and Central Asia,Armenia,,7653.13
2010,Multilateral,,,,,South and Central Asia,Azerbaijan,,8044.07
2010,Multilateral,,,,,South and Central Asia,Bangladesh,,44715.77
2010,Multilateral,,,,,South and Central Asia,Bhutan,,2769.14
2010,Multilateral,,,,,South and Central Asia,Burma,,11538.01
2010,Multilateral,,,,,South and Central Asia,Georgia,,26009.85
2010,Multilateral,,,,,South and Central Asia,India,,58341.9
2010,Multilateral,,,,,South and Central Asia,Kazakhstan,,4173.84
2010,Multilateral,,,,,South and Central Asia,Kyrgyz Republic,,10006.66
2010,Multilateral,,,,,South and Central Asia,Maldives,,3500.11
2010,Multilateral,,,,,South and Central Asia,Nepal,,25699.45
2010,Multilateral,,,,,South and Central Asia,Pakistan,,53250.14
2010,Multilateral,,,,,South and Central Asia,Sri Lanka,,19061.72
2010,Multilateral,,,,,South and Central Asia,Tajikistan,,15818.72
2010,Multilateral,,,,,South and Central Asia,Turkmenistan,,979.7
2010,Multilateral,,,,,South and Central Asia,Uzbekistan,,7123.36
2010,Multilateral,,,,,South and Central Asia,Unspecified South Asia Region,,986.23
2010,Multilateral,,,,,South and Central Asia,Unspecified Central Asia Region,,3779.93
2010,Multilateral,,,,,South and Central Asia,South and CentralAsia (Country Unspecifed),,3998.23
2010,Multilateral,,,,,Far East Asia,,,185725.91
2010,Multilateral,,,,,Far East Asia,Cambodia,,16238.51
2010,Multilateral,,,,,Far East Asia,China,,-21158.89
2010,Multilateral,,,,,Far East Asia,Indonesia,,36587.31
2010,Multilateral,,,,,Far East Asia,"Korea, Democratic Republic",,3659.2
2010,Multilateral,,,,,Far East Asia,Laos,,8504.48
2010,Multilateral,,,,,Far East Asia,Malaysia,,344.03
2010,Multilateral,,,,,Far East Asia,Mongolia,,6588.7
2010,Multilateral,,,,,Far East Asia,Philippines,,9620.54
2010,Multilateral,,,,,Far East Asia,Thailand,,7029.13
2010,Multilateral,,,,,Far East Asia,Timor-Leste,,3070.19
2010,Multilateral,,,,,Far East Asia,Vietnam,,114467.15
2010,Multilateral,,,,,Far East Asia,Far East Asia (Country Unspecifed),,775.58
2010,Multilateral,,,,,Latin America and the Caribbean,,,159323.94
2010,Multilateral,,,,,Latin America and the Caribbean,Anguilla,,812.34
2010,Multilateral,,,,,Latin America and the Caribbean,Antigua and Barbuda,,1312.47
2010,Multilateral,,,,,Latin America and the Caribbean,Barbados,,1429.57
2010,Multilateral,,,,,Latin America and the Caribbean,Belize,,1749.78
2010,Multilateral,,,,,Latin America and the Caribbean,Costa Rica,,826.38
2010,Multilateral,,,,,Latin America and the Caribbean,Cuba,,4241.89
2010,Multilateral,,,,,Latin America and the Caribbean,Dominica,,3497.71
2010,Multilateral,,,,,Latin America and the Caribbean,Dominican Republic,,10836.37
2010,Multilateral,,,,,Latin America and the Caribbean,El Salvador,,6911.86
2010,Multilateral,,,,,Latin America and the Caribbean,Grenada,,3850.73
2010,Multilateral,,,,,Latin America and the Caribbean,Guatemala,,5147.59
2010,Multilateral,,,,,Latin America and the Caribbean,Haiti,,44508.57
2010,Multilateral,,,,,Latin America and the Caribbean,Honduras,,20666.21
2010,Multilateral,,,,,Latin America and the Caribbean,Jamaica,,17321.71
2010,Multilateral,,,,,Latin America and the Caribbean,Mexico,,2208.73
2010,Multilateral,,,,,Latin America and the Caribbean,Montserrat,,1108.07
2010,Multilateral,,,,,Latin America and the Caribbean,Nicaragua,,9377.58
2010,Multilateral,,,,,Latin America and the Caribbean,Panama,,448.84
2010,Multilateral,,,,,Latin America and the Caribbean,St. Kitts-Nevis,,2095.29
