Year,Sex,Age,Occupation category,Occupation sub-category,Value
2004,Male,30 to 49,Elementary occupations,Elementary trades and related occupations,8.21
2004,Male,50 to 59,Elementary occupations,Elementary trades and related occupations,7.72
2004,Male,60 and over,Elementary occupations,Elementary trades and related occupations,7.2
2004,Male,18 to 21,Elementary occupations,Elementary administration and service occupations,5.72
2004,Male,22 to 29,Elementary occupations,Elementary administration and service occupations,6.68
2004,Male,30 to 39,Elementary occupations,Elementary administration and service occupations,7.74
2004,Male,30 to 49,Elementary occupations,Elementary administration and service occupations,8.03
2004,Male,50 to 59,Elementary occupations,Elementary administration and service occupations,7.59
2004,Male,60 and over,Elementary occupations,Elementary administration and service occupations,6.79
2004,Female,,,,10.3
2004,Female,18 to 21,,,6.08
2004,Female,22 to 29,,,9.54
2004,Female,30 to 39,,,11.42
2004,Female,30 to 49,,,10.99
2004,Female,50 to 59,,,10.01
2004,Female,18 to 21,"Managers, directors and senior officials",,7.48
2004,Female,22 to 29,"Managers, directors and senior officials",,12.03
2004,Female,30 to 39,"Managers, directors and senior officials",,16.09
2004,Female,30 to 49,"Managers, directors and senior officials",,16.08
2004,Female,50 to 59,"Managers, directors and senior officials",,14.4
2004,Female,60 and over,"Managers, directors and senior officials",,12.27
2004,Female,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,7.81
2004,Female,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,12.65
2004,Female,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,16.81
2004,Female,30 to 49,"Managers, directors and senior officials",Corporate managers and directors,16.77
2004,Female,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,14.79
2004,Female,60 and over,"Managers, directors and senior officials",Corporate managers and directors,12.92
2004,Female,18 to 21,"Managers, directors and senior officials",Other managers and proprietors,6.77
2004,Female,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,9.56
2004,Female,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,12.34
2004,Female,30 to 49,"Managers, directors and senior officials",Other managers and proprietors,12.46
2004,Female,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,12.95
2004,Female,60 and over,"Managers, directors and senior officials",Other managers and proprietors,10.48
2004,Female,18 to 21,Professional occupations,,8.98
2004,Female,22 to 29,Professional occupations,,14.5
2004,Female,30 to 39,Professional occupations,,17.71
2004,Female,30 to 49,Professional occupations,,18.69
2004,Female,50 to 59,Professional occupations,,19.01
2004,Female,60 and over,Professional occupations,,16.64
2004,Female,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",12.89
2004,Female,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",16.36
2004,Female,30 to 49,Professional occupations,"Science, research, engineering and technology professionals",18.42
2004,Female,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",16.43
2004,Female,60 and over,Professional occupations,"Science, research, engineering and technology professionals",12.68
2004,Female,22 to 29,Professional occupations,Health professionals,16.97
2004,Female,30 to 39,Professional occupations,Health professionals,23.86
2004,Female,30 to 49,Professional occupations,Health professionals,27.38
2004,Female,50 to 59,Professional occupations,Health professionals,28.91
2004,Female,60 and over,Professional occupations,Health professionals,40.64
2004,Female,18 to 21,Professional occupations,Teaching and educational professionals,10.35
2004,Female,22 to 29,Professional occupations,Teaching and educational professionals,13.82
2004,Female,30 to 39,Professional occupations,Teaching and educational professionals,17
2004,Female,30 to 49,Professional occupations,Teaching and educational professionals,18.52
2004,Female,50 to 59,Professional occupations,Teaching and educational professionals,19.38
2004,Female,60 and over,Professional occupations,Teaching and educational professionals,16.27
2004,Female,18 to 21,Professional occupations,"Business, media and public service professionals",6.63
2004,Female,22 to 29,Professional occupations,"Business, media and public service professionals",15.93
2004,Female,30 to 39,Professional occupations,"Business, media and public service professionals",17.7
2004,Female,30 to 49,Professional occupations,"Business, media and public service professionals",16.19
2004,Female,50 to 59,Professional occupations,"Business, media and public service professionals",14.86
2004,Female,60 and over,Professional occupations,"Business, media and public service professionals",13.15
2004,Female,18 to 21,Associate professional and technical occupations,,7.36
2004,Female,22 to 29,Associate professional and technical occupations,,10.88
2004,Female,30 to 39,Associate professional and technical occupations,,12.83
2004,Female,30 to 49,Associate professional and technical occupations,,13.06
2004,Female,50 to 59,Associate professional and technical occupations,,12.69
2004,Female,60 and over,Associate professional and technical occupations,,11.91
2004,Female,18 to 21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",7.3
2004,Female,22 to 29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",10.1
2004,Female,30 to 39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",11.21
2004,Female,30 to 49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",12.03
2004,Female,50 to 59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",10.5
2004,Female,60 and over,Associate professional and technical occupations,"Science, engineering and technology associate professionals",8.58
2004,Female,18 to 21,Associate professional and technical occupations,Health and social care associate professionals,8.43
2004,Female,22 to 29,Associate professional and technical occupations,Health and social care associate professionals,11.06
2004,Female,30 to 39,Associate professional and technical occupations,Health and social care associate professionals,12.28
2004,Female,30 to 49,Associate professional and technical occupations,Health and social care associate professionals,12.74
2004,Female,50 to 59,Associate professional and technical occupations,Health and social care associate professionals,12.82
2004,Female,60 and over,Associate professional and technical occupations,Health and social care associate professionals,11.97
2004,Female,18 to 21,Associate professional and technical occupations,Protective service occupations,10.74
2004,Female,22 to 29,Associate professional and technical occupations,Protective service occupations,11.41
2004,Female,30 to 39,Associate professional and technical occupations,Protective service occupations,13.15
2004,Female,30 to 49,Associate professional and technical occupations,Protective service occupations,13.82
2004,Female,50 to 59,Associate professional and technical occupations,Protective service occupations,12.42
2004,Female,18 to 21,Associate professional and technical occupations,"Culture, media and sports occupations",7.81
2004,Female,22 to 29,Associate professional and technical occupations,"Culture, media and sports occupations",10.84
2004,Female,30 to 39,Associate professional and technical occupations,"Culture, media and sports occupations",15.09
2004,Female,30 to 49,Associate professional and technical occupations,"Culture, media and sports occupations",15.48
2004,Female,50 to 59,Associate professional and technical occupations,"Culture, media and sports occupations",14.93
2004,Female,18 to 21,Associate professional and technical occupations,Business and public service associate professionals,6.74
2004,Female,22 to 29,Associate professional and technical occupations,Business and public service associate professionals,10.85
